rank,avg_ev,pred_ev,,
376,4.75,5.25,,
377,5.25,5.24,,
378,6,5.23,,
379,6.35,5.22,,
380,6.69,5.21,,
381,8.71,5.2,,
382,9.02,5.19,,
383,8.38,5.18,,
384,9.03,5.17,,
385,6.5,5.16,,
386,5.59,5.15,,
387,5.79,5.14,,
388,6.18,5.13,,
389,5.95,5.12,,
390,5.52,5.11,,
391,6,5.1,,
392,4.66,5.09,,
393,4.74,5.08,,
394,4.86,5.07,,
395,5.64,5.06,,
396,5.28,5.05,,
397,4.58,5.04,,
398,5.58,5.03,,
399,4.92,5.02,,
400,4.8,5.01,,
401,4.97,5,,
402,6.09,4.99,,
403,5.93,4.98,,
404,6.84,4.97,,
405,6.87,4.96,,
406,6.3,4.95,,
407,6.18,4.94,,
408,7.54,4.93,,
409,6.38,4.92,,
410,7.5,4.91,,
411,7.05,4.9,,
412,7.04,4.89,,
413,6.97,4.88,,
414,6.6,4.87,,
415,5.24,4.86,,
416,6.5,4.85,,
417,5.93,4.84,,
418,6.62,4.83,,
419,6.44,4.82,,
420,6.74,4.81,,
421,6.28,4.81,,
422,6.78,4.8,,
423,6.94,4.79,,
424,5.1,4.78,,
425,6.41,4.77,,
426,6.34,4.76,,
427,4.42,4.75,,
428,5.83,4.74,,
429,5.47,4.73,,
430,5.46,4.72,,
431,4.84,4.71,,
432,4.31,4.7,,
433,4.49,4.69,,
434,4.3,4.68,,
435,4.9,4.67,,
436,3.26,4.67,,
437,3.42,4.66,,
438,3.44,4.65,,
439,3.34,4.64,,
440,3.29,4.63,,
441,3.56,4.62,,
442,3.51,4.61,,
443,4.49,4.6,,
444,4.46,4.59,,
445,6.27,4.58,,
446,5.49,4.57,,
447,7.28,4.57,,
448,8.15,4.56,,
449,7.96,4.55,,
450,7.14,4.54,,
451,6.99,4.53,,
452,6.84,4.52,,
453,6.68,4.51,,
454,5.61,4.5,,
455,4.96,4.49,,
456,2.74,4.49,,
457,2.98,4.48,,
458,2.14,4.47,,
459,1.71,4.46,,
460,1.97,4.45,,
461,2.3,4.44,,
462,3.73,4.43,,
463,3.49,4.42,,
464,3.71,4.42,,
465,3.77,4.41,,
466,5.24,4.4,,
467,4.85,4.39,,
468,4.7,4.38,,
469,5.86,4.37,,
470,5.72,4.36,,
471,5.4,4.36,,
472,5,4.35,,
473,4.1,4.34,,
474,4.54,4.33,,
475,4.67,4.32,,
476,5.09,4.31,,
477,4.75,4.3,,
478,5.17,4.3,,
479,5.61,4.29,,
480,4.38,4.28,,
481,4.25,4.27,,
482,4.48,4.26,,
483,4.62,4.25,,
484,4.46,4.25,,
485,4.71,4.24,,
486,4.86,4.23,,
487,4.5,4.22,,
488,3.53,4.21,,
489,2.53,4.2,,
490,2.27,4.2,,
491,2.7,4.19,,
492,2.38,4.18,,
493,2.25,4.17,,
494,3.04,4.16,,
495,3.23,4.15,,
496,3,4.15,,
497,4,4.14,,
498,3.93,4.13,,
499,3.5,4.12,,
500,3.85,4.11,,
501,3.58,4.11,,
502,4.84,4.1,,
503,5.18,4.09,,
504,4.81,4.08,,
505,4.79,4.07,,
506,4.89,4.07,,
507,4.92,4.06,,
508,3.52,4.05,,
509,3.86,4.04,,
510,4.91,4.03,,
511,5.31,4.03,,
512,6.01,4.02,,
513,4.9,4.01,,
514,4.9,4,,
515,5.26,3.99,,
516,4.25,3.99,,
517,4.14,3.98,,
